autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Paulo César M,"Bento Gonçalves, RS","De tirar o fôlego, uma vista espetacular e a estrada é impressionante vista do mirante, mais incrível ainda é a descida quando se percebe de perto os detalhes da construção, a cada curva, imaginação e surpresas, como um quati na beira da estrada ou uma cascata que acompanha parte da descida.",nov de 2019 • Casais,Impressionante
Shaiane A,"Viamão, RS","Lugar muito legal e os quatis são a atração da região... da até para tirar selfie!Precisa de um veículo potente, pois a subida é ingrime e requer bom sistema de freios e embreagem! Mas vale a pena!",out de 2019,Lugal lindo!
Bruna Carpi,"Itu, SP","Lugar indescritível!!! Lindas paisagens, cidade calma, sem violência ou algo do tipo!!! O povo local muito receptivo com os turistas. Em época de feriado fica bem cheia, mas mesmo assim dá pra curtir bastante! Pra quem é ciclista e quer subir a serra é bem tranquila, só ter cuidado com o movimento e prestar atenção aos veículos pois a pista é estreita.",nov de 2019 • A sós,Cicloturismo na Serra do Rio do Rastro
Luiz A,"Porto Alegre, RS","Conhecer a Serra do Rio do Rastro, a cidade de Lauro Muller e as belezas sem igual dessa região de Santa catarina é soma de experiencias. Que vão de tirar o folego ao deslumbramento.",out de 2019,Mais que uma aventura
Rosana D,3 contribuições,Paisagem lindíssima com uma estrada muito sinuosa que torna a viagem muito emocionante e com uma natureza exuberante.,set de 2019,Serra belissima
Fernando,"São Paulo, SP","Dois anos depois de conhecê-la, me programei para apreciá-la e percorre-la no período da noite. Cheguei por volta das 19h e ja estava tudo bem escuro e apenas uma parte dela iluminada.",nov de 2019 • A sós,"Voltei, agora para curti-la a noite!"
Hélen Ferrari,"Arroio do Meio, RS","linda paisagem, experiência incrível, muito bom conhecer esse pedacinho do paraíso, viagem tranquila em meio à natureza. Visite você também!",set de 2019 • Família,lugarzinho que tem meu coração 💛
Stay17919608379,2 contribuições,"Uma vista maravilhosa, uma verdadeira obra de arte. Um passeio inesquecível, e voltaremos com toda certeza. Recomendamos o passeio é excelente.",dez de 2018,Lugar maravilhoso
edmilson65,"Francisco Beltrão, PR","Passeio maravilhoso,  tivemos sorte o tempo estava muito bom, foi possível  ver toda a beleza da  Serra, o caminho é cheio de curvas, onde fica emocionado o passeio. ",nov de 2019 • Casais,Bela maravilhosa 
Fernando F,"São Paulo, SP","Vale a pena demais, lugar lindo e com certeza o lugar mais fascinante que conheci. Tem que ir cedo para poder enxergar",nov de 2019 • Casais,Conhecer antes de morrer
Maria Solange O,"Farroupilha, RS","A Serra do Rio do Rastro serpenteia a mata Atlântica com muito verde e cachoeiras. A estrada é estreita, tem muitas curvas e não há acostamento, apenas alguns  refúgios. Não recomendo a descida ou subida da serra em dias chuvosos ou com neblina, há outras opções mais seguras entre o Rio Grande do Sul e Santa Catarina e vice-versa.",out de 2019,Linda e perigosa!
myuki2017,"São Paulo, Brasil","284 curvas e 1421 metros de altitude!!! A estrada estreita com curvas fechadíssimas é desafiadora. Fizemos o percurso de descida da serra e vimos vários caminhões que precisaram fazer várias manobras para vencer as curvas da estrada. A visão da estrada, no mirante que existe no topo da serra é belíssima. Neste local existem muitos quatis perto das lanchonetes. Tomem cuidado para não serem surpreendidos por eles puxando sacolas, a procura de alimentos.. ",jul de 2019 • Casais,Fascinante
Thais S,4 contribuições,Não há como passar indiferente por esse lugar maravilhoso. A energia da natureza e sua grandiosidade são únicos. Um lugar de conexão com a pureza e a beleza do nosso país.,nov de 2018,Maravilhoso contato com a energia da natureza!
NicolleMH,"Curitiba, PR","Subimos a serra até o mirante, que foi uma aventura. No mirante, como o céu estava lindo, as fotos ficaram lindas. Lá tem letreiro, lojas, restaurantes e banheiros. Vale conhecer.",ago de 2019,Local lindo
recheverrya,"São Paulo, SP","Realmente Fantástico um passeio sem igual , vale muito a pena . Fui de carro para Gramado e Canela e voltamos por essa Serra incrível, paisagem maravilhosa , em alguns momentos o fog chega mas logo vai embora . Região de muitos cânions com lugares inacreditáveis.",jul de 2019 • Família,Encantador
Abraão tiago vanessa,12 contribuições,"foi maravilhoso conhecer mais um pedacinho do nosso Brasil ,lugar de pessoas muito receptivas  e alegre com os turistas!!!",set de 2019,lugar incrível tudo lindo !!!
Isabel21167,"Rio Grande, rs","Para quem gosta de emoção mas não tanto ao ponto de saltar de paraquedas, um passeio pala serra é a medida certa! Paisagem deslumbrante ",dez de 2018,De tirar o folego
Dinha,"Palhoça, SC","A serra do Rio do Rastro é muito -sinuoso, fica na da SC-438, com 284 curvas, fica entre Lauro Müller e Bom Jardim da Serra. A partir de Lauro Müller, sendo que oss 16 km são asfaltados. e os outros 7 km, são em  em concreto, composto de subidas íngremes e curvas de 180°. Tem alguns  mirantes para admirar o visual. è lindissima, vale a pena,visual de tirar o fôlego.",out de 2018,LInda
Fernando Damiano Fabio,"Osasco, SP",O percurso na serra é tranquilo mas requer muita atenção e paciência. ,set de 2019 • Casais,Vista incrível 
Fabio Miguel S,"Curitiba, PR","Lugar bonito, visual muito bacana, tem mirantes para apreciar a paisagem, no primeiro mirante tem um simulador onde vc pode ter a sensação de estar voando de asa delta na serra. A subida é tranquila, tem realmente muitas curvas fechadas que requerem um certo cuidado, mas nada fora do normal, até caminhões e ônibus sobem e descem sem problemas.",set de 2019,Vale a visita
rita b,"Brusque, SC","Fizemos o trajeto de Urubici até o topo da serra do Rio do rastro . Chegamos no local ao meio dia de um dia lindo de sol e podemos visualizar o trajeto da Serra .Tem um restaurante muito bom no topo da serra .Descemos a serra bem tranquilo e segura ,trânsito estava calmo. No topo da serra tem muitos quatis .tenha cuidado com eles são bem atrevidos e podem morder .recomendo muito descer essa serra .",ago de 2019,"Um espetáculo da natureza , e a estrada e muito boa ."
sarianabs,"São José, SC",Quando passamos pela serra as paredes estavam congeladas.,jul de 2019,Lindíssimo
tuliotsuji,"Imperatriz, MA","Coluna White/ Linha Estratigráfica/ Serra do Rio do Rastro quantos segredos estariam guardados por lá?! Encantadora, desafiadora e de humor imprevisível... A cada hora do dia uma sensação diferente! Vá lá!",set de 2019 • Amigos,Serpenteando a Serra
Cintia T,"Porto Alegre, RS","Sem palavras para descrever tamanha beleza do lugar. A Serra é sinuosa, linda a paisagem a sua volta. Fomos de carro. Sao alguns quilômetros de beleza sem fim. Embora a estrada seja bem sinalizada e conservada, precisa ter um pouco de calma e cautela, pois as curvas sao muito fechadas. Pegamos neblina por volta de 14hs, dificultando um pouco do trajeto. Mas mesmo assim, é um lugar inesquecível e que vale a pena conferir. Recomendo. Foi um dos melhores passeios à Serra que já fiz.",set de 2019 • Casais,Lugar lindo
Cintia S,3 contribuições,"Serra maravilhosa!! Cidade de Lauro Müller, que fica no pé da Serra, cidade pequena e acolhedora. Vale a pena conhecer, de bike, moto ou carro!!!",nov de 2018 • Amigos,Maravilhoso
Samuel C,"São Paulo, SP","Estive no Mês de Agosto Visitando a Serra Do Rio Do Rastro, Lugar encantador, estrada bem sinuosa com suas curvas Bem acentuadas. ",ago de 2019 • Amigos,Beleza Nutural
Fabiana M,1 contribuição,"Lugar maravilhoso! Valeu a pena. As crianças adoraram. Eu e meu marido, mais ainda. As paisagens são incríveis! Vale muito a visita na Serra do Corvo Branco. Espetacular",ago de 2019 • Família,Serra do Rio do Rastro
Roseli B,"Mairiporã, SP","Visitei em agosto/2019. É muito bonita a Serra, estrada estreita e sinuosa mas da pra ir tranquilamente. Eu e meu esposo fomos com nosso carro 4x4 mas vi vários carros comuns subindo sem nenhum problema. O mirante fica ao lado de um posto da polícia rodoviária, e tem ótima estrutura como um bom restaurante, cafeteria, com lojinha de artesanato.",ago de 2019 • Casais,Muito bacana
jgvarejao,119 contribuições,"A Serra é linda, e vale muito descer e/ou subir a estrada. Tem visual de tirar o fôlego e quem visita poderá tirar muitas e belas fotos.",ago de 2019,Estrada Esplêndida...
Darley Cassimiro,"Boituva, SP","Uma das estradas mais bonitas do Brasil, com vista de tirar o folego quando se chega ao topo. Tem um mirante com banheiros limpos e algumas lanchonetes! Passeio para toda família e de fácil acesso e de custo ZERO!!!",jul de 2019,Passeio imperdível em Santa Catarina!!!  top!!  top!!  top!!
Aline M,"Alvorada, RS","Planejamos o trajeto deste passeio sem pressa, a estrada e a vista (paisagens) são de tirar o fôlego. Uma boa dica é subir a serra com calma e cuidado. Os mirantes ao longo do trajeto que leva a Bom Jardim da Serra, são paradas obrigatórias para registrar imagens da estrada. Visitamos o Mirante da Ronda R$10,00 por pessoa. Reserve algumas moedas de R$1,00 para usar os binóculos do Mirante. Lembre-se vc estará a 1.421 metros de altitude, portanto, é normal sentir um pouco de desconforto ao respirar. Aproveite as belas imagens dessa paisagem maravilhosa. ",ago de 2019 • Família,Espetacular
BaMedeiros,"Porto Alegre, RS","Vale a pena pela paisagem. Com gelo, ainda mais bonita! Viagem de carro bem divertida! Vista de cima bem legal. ",jul de 2019 • Casais,Paisagem linda
Luciane Lessa,"Rio de Janeiro, RJ","É incrível a sensação de subir ou descer a serra. Fiz os dois percursos. Tem mirantes por todo o caminho e vale a pena cada parada pois a vista é sempre maravilhosa! Peguei um dia bem frio com bastante vento mas de céu claro, o que permitiu belas fotos. Viagem deslumbrante!",jul de 2019 • Amigos,"Lugar incrível, fantástico, espetacular!!!"
Júlia Monnerat,"Niterói, RJ","Serra linda com mais de 200 curvas, a maioria bem fechada. Se não me engano, tem uns 8km de extensão. Lá em cima tem um mirante que da pra apreciar a serra de cima. Muito lindo!!!!",jul de 2019 • Família,Paisagem linda...
FCPeixoto,"Niterói, RJ","Paisagens sensacionais! Ao descer, vale a pena deixar-se ficar nos recuos para contemplar os diferentes ângulos.",jul de 2019 • Família,Muito bonito e interessante
Matheus Pewreira,"Florianópolis, SC",O passeio pela serra do rio do rastro vale muito a pena. É uma subida não muito cansativa de fazer e as vistas são de cair o queixo. Visitamos em um dia ensolarado de inverno e o tempo estava ideal para a visitação. Até mesmo conhecemos os quatis super simpáticos da fauna local. Super recomendo a visita à serra!,jul de 2019 • Amigos,Lugar sensacional
Carlos V,"Campinas, SP","Paisagens lindas com uma boa infraestrutura no mirante no topo da serra. Ótima para percorrer de carro, moto ou de bike!",jul de 2019 • Família,TOP
Érico Salutti,"Marília, SP",Asfalto bom. Bem sinalizado. Pista estreita. Da pra fazer o trajeto com chuva ou no seco. Com ou sem neblina. Não precisa ter medo. O único problema se estiver chovendo ou neblina é que a vista será comprometida. Da pra fazer a noite também. Recomendo subir e descer. Subir é bom pra quem gosta de fazer curva. Descer é pra vir na boa curtindo o visual.,jul de 2019,Top demais
Roni de Andrade,"Francisco Beltrão, PR","É um daqueles passeios que não se pode deixar de fazer na serra catarinense, fui em Novembro e peguei 6ºC saindo de Bom Jardim da Serra de bicicleta. Subi e desci a serra, sensacional",nov de 2018 • Amigos,Imperdível
Marcio A,"Feliz, RS",Uma maravilha de lugar que oferece a natureza. Um lindo passeio para quem visita à região dos campos em cima da Serra .,jul de 2019 • Família,Visita a Serra
chrysbuesa,"Santos, SP",Espetacular a serra! Mais bonita a descida q a subida... lá de cima vale a pena a vista. Vários pontos de parada no caminho! Comer no topo com vista a cachoeira é muito bom!,jul de 2019 • Família,Vista linda
SMandalozzo,"Ponta Grossa, PR","Um belo local para conhecer. Optamos pela descida. Vista maravilhosa. Muito movimento, mas o trânsito é organizado. Parar nos mirantes para tirar fotografia é um ótimo programa.",jul de 2019 • Família,Vista excepcional!
Luis Fernando R Motta,"Belo Horizonte, MG","Descida da serra é muito linda. Apesar do tempo fechado, estar entre as nuvens é muito aconchegante.",jul de 2019 • Casais,Viagem de lua de mel
Luciana Partel,"São Carlos, SP","Subir a Serra foi lindo! Vista de perder o fôlego! Bons lugares para parar o carro e tirar fotos. Cuidado com o excesso de turistas. É bom subir cedo, em torno das 8 ou 9 da manhã ",jul de 2019 • A sós,Vista linda!
Gilmar João Limas,"Joinville, SC","Tão bela e Tão assustadora esta serra, passamos nesta ultima quinta-feira, dia belissíma para admirar a paisagem do litoral, Acabamos subindo antes deles fecharem a pista por causa do gelo.",jul de 2019 • Família,Encantadora e Assustadora
Iara Maggioni,"Curitiba, PR","Não à toa a Serra do Rio do Rastro é considerada uma das estradas mais lindas do país. O passeio é, de fato, incrível. Na parte de cima você encontra o Mirante para olhar de cima a serra. Também há dois espaços privados para curtir a vista dos cânions. Vale a pena conhecer. O mais bonito é o cânion da ronda!",jun de 2019 • Casais,Lindo passeio
Wil,"São Paulo, SP","Se você gosta de paisagens e aventura é imperdível e se não for tão aficionado como eu, não perca também!!!",abr de 2019 • Amigos,Imperdível...
Patricia M,3 contribuições,"Lugar incrível!!! Um banho de beleza, chegamos as 8h da manhã e fomos abençoadas pelo sol. Descemos a serra, foi super tranquilo, seguro e a cada curva uma sensação diferente! Lindo demais.",jun de 2019,Maravilha!!!
